iter	Passed	Remaining
0	147	147095
1	148	74243
2	149	49841
3	151	37789
4	152	30411
5	153	25477
6	154	21910
7	156	19368
8	157	17380
9	158	15709
10	159	14331
11	161	13281
12	163	12418
13	165	11659
14	167	11016
15	168	10365
16	169	9809
17	170	9299
18	171	8831
19	171	8410
20	172	8057
21	173	7721
22	174	7407
23	175	7141
24	176	6895
25	177	6664
26	179	6450
27	180	6249
28	180	6059
29	182	5885
30	182	5717
31	183	5557
32	184	5408
33	185	5266
34	186	5130
35	186	5001
36	187	4879
37	188	4764
38	188	4653
39	189	4549
40	190	4449
41	190	4354
42	191	4262
43	192	4173
44	192	4087
45	193	4004
46	193	3924
47	194	3850
48	194	3781
49	195	3712
50	195	3645
51	196	3581
52	196	3519
53	197	3459
54	197	3401
55	198	3345
56	198	3291
57	199	3238
58	199	3189
59	200	3140
60	200	3092
61	201	3046
62	201	3002
63	202	2959
64	202	2917
65	203	2877
66	203	2837
67	204	2799
68	204	2763
69	205	2728
70	205	2694
71	206	2660
72	206	2628
73	207	2595
74	207	2565
75	208	2535
76	208	2505
77	209	2475
78	209	2447
79	210	2419
80	210	2392
81	211	2366
82	211	2338
83	212	2313
84	212	2288
85	213	2264
86	213	2241
87	214	2218
88	214	2195
89	214	2173
90	215	2152
91	215	2131
92	216	2110
93	216	2090
94	217	2070
95	217	2051
96	218	2032
97	218	2014
98	219	1995
99	219	1979
100	220	1963
101	221	1946
102	221	1929
103	222	1913
104	222	1899
105	223	1883
106	223	1868
107	224	1853
108	224	1838
109	225	1823
110	225	1809
111	226	1794
112	226	1780
113	227	1766
114	227	1752
115	228	1739
116	228	1725
117	229	1712
118	229	1699
119	229	1686
120	230	1674
121	230	1661
122	231	1649
123	231	1638
124	232	1626
125	232	1615
126	233	1603
127	233	1592
128	234	1581
129	234	1571
130	235	1561
131	235	1551
132	236	1540
133	236	1530
134	237	1520
135	237	1511
136	238	1501
137	238	1491
138	239	1482
139	239	1472
140	240	1463
141	240	1453
142	241	1444
143	241	1435
144	242	1427
145	242	1419
146	243	1410
147	243	1403
148	244	1395
149	244	1387
150	245	1379
151	245	1371
152	246	1363
153	246	1356
154	247	1349
155	248	1342
156	248	1335
157	249	1328
158	249	1322
159	250	1315
160	250	1307
161	251	1301
162	252	1294
163	252	1288
164	253	1282
165	254	1276
166	254	1270
167	255	1263
168	255	1258
169	256	1251
170	257	1245
171	257	1239
172	258	1234
173	258	1228
174	259	1222
175	259	1216
176	260	1210
177	260	1205
178	261	1199
179	262	1193
180	262	1187
181	263	1182
182	263	1176
183	264	1171
184	264	1165
185	265	1160
186	265	1155
187	266	1150
188	266	1145
189	267	1140
190	268	1136
191	268	1131
192	269	1126
193	269	1121
194	270	1116
195	270	1111
196	271	1106
197	271	1101
198	272	1096
199	273	1092
200	273	1087
201	274	1082
202	274	1078
203	275	1073
204	275	1069
205	276	1064
206	276	1060
207	277	1056
208	277	1051
209	278	1047
210	278	1043
211	279	1039
212	280	1035
213	280	1031
214	281	1027
215	281	1023
216	282	1019
217	283	1015
218	283	1011
219	284	1008
220	284	1004
221	285	1000
